model,dataset,test_precision@20,test_mrr@20
SR-GNN paper,Yoochoose 1/64,70.57,30.94
SR-GNN paper,Diginetica,50.73,17.59
TAGNN paper,Yoochoose 1/64,71.02,31.12
TAGNN paper,Diginetica,51.31,18.03
GAT-SR-GNN,Yoochoose 1/64,70.04722888117642,31.096935145965592
GAT-SR-GNN,Diginetica,50.427224029708505,16.688019804121016
GAT-TAGNN,Yoochoose 1/64,70.8880460839386,31.186790101886192
GAT-TAGNN,Diginetica,51.36218738703211,17.451366725872614
GAT-SAGPool,Yoochoose 1/64,70.48910515581953,31.160490590219418
GAT-SAGPool,Diginetica,48.93193992572875,16.27335142378638
