model,iteration,folder,dataset,test_precision@20,test_mrr@20,test_loss,best_epoch,best_validation_precision@20,best_validation_mrr@20,train_examples,validation_examples,test_examples,num_items,checkpoint_path,run_label
GAT-SAGPool,1,results-gat-sagpoll-2,Diginetica,50.280981958000595,16.65688618322713,5.541536599361422,4,55.19062643334677,19.459285008636744,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_sagpool_diginetica.pt,Baseline SAGPool
GAT-SAGPool,2,results-sagpool-workstreamA,Diginetica,47.10473561405239,14.983549206266815,5.7173776480538,4,52.04247571128747,17.572773921706272,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_sagpool_diginetica.pt,Workstream A
GAT-SAGPool,3,results-sagpool-workstreamB,Diginetica,50.3565677478721,16.833292770003382,5.53019000867362,4,55.468608837060614,19.459496701350417,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_sagpool_diginetica.pt,Workstream B
GAT-SAGPool,4,results-sagpool-run1,Diginetica,50.47158960202439,16.852392770790466,5.515475834762471,4,55.567292590379026,19.347041925101596,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_sagpool_v2_diginetica.pt,Run 1 (v2)
GAT-SAGPool,5,results-sagpool-run2,Diginetica,48.76926616057051,15.855698318485206,5.642330401773274,11,54.00364156948865,18.602829577833447,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_sagpool_v2_digi_reg_diginetica.pt,Run 2 (Diginetica reg)
GAT-SAGPool,6,results-newest,Diginetica,48.93193992572875,16.27335142378638,5.617128376689812,10,54.139852947308434,18.893278845869588,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_sagpool_v2_digi_reg_diginetica.pt,Newest shared-edge GAT
GAT-SAGPool,1,results-gat-sagpoll-2,Yoochoose 1/64,70.03649504454542,30.89542820558654,4.343515929631877,10,69.27943760984182,32.500136147097216,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_sagpool_yoochoose_1_64.pt,Baseline SAGPool
GAT-SAGPool,2,results-sagpool-workstreamA,Yoochoose 1/64,69.02214748291532,29.556702653036684,4.434746200392006,6,67.97350277139381,31.20734355184409,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_sagpool_yoochoose_1_64.pt,Workstream A
GAT-SAGPool,3,results-sagpool-workstreamB,Yoochoose 1/64,70.36208808901928,30.93688572202498,4.337271876162657,7,69.27673381100446,32.53235209321789,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_sagpool_yoochoose_1_64.pt,Workstream B
GAT-SAGPool,4,results-sagpool-run1,Yoochoose 1/64,70.18140183906401,31.01071495204378,4.324156872338739,10,69.2983642017034,32.674490157794324,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_sagpool_v2_yoochoose_1_64.pt,Run 1 (v2)
GAT-SAGPool,5,results-sagpool-run2,Yoochoose 1/64,70.27263945042756,31.079247906415414,4.319441083582353,8,69.36866297147492,32.794824770145745,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_sagpool_v2_digi_reg_yoochoose_1_64.pt,Run 2 (Diginetica reg)
GAT-SAGPool,6,results-newest,Yoochoose 1/64,70.48910515581953,31.160490590219418,4.323710053725176,16,69.49033391915641,32.7174926052323,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_sagpool_v2_digi_reg_yoochoose_1_64.pt,Newest shared-edge GAT
