dataset,epoch,train_loss,validation_loss,validation_precision@20,validation_mrr@20,epoch_seconds,train_examples,validation_examples,test_examples
Yoochoose 1/64,1,5.5994938162592085,4.737255936718412,64.62349601189672,28.485622506569054,114.86584067344666,332874,36985,55898
Yoochoose 1/64,2,4.48592310432467,4.518538057505964,67.45437339461944,30.07264904513687,114.94191336631775,332874,36985,55898
Yoochoose 1/64,3,4.231902575919309,4.4583730886510144,68.33310801676355,30.862479401356758,113.90029883384705,332874,36985,55898
Yoochoose 1/64,4,3.7952530993013283,4.36934692440314,69.45518453427066,32.23945478434432,112.55440640449524,332874,36985,55898
Yoochoose 1/64,5,3.717835170577481,4.728750487122968,64.65594159794512,29.15834497789829,114.58984661102295,332874,36985,55898
Yoochoose 1/64,6,3.726136334460099,4.397061925361781,69.27943760984182,32.45769598717075,113.51168131828308,332874,36985,55898
Yoochoose 1/64,7,3.6136444385694184,4.401802861885524,69.23076923076923,32.45754636460516,115.52722787857056,332874,36985,55898
Yoochoose 1/64,8,3.6058337562688147,4.405127435402885,69.2821414086792,32.469505190414175,113.10090136528015,332874,36985,55898
Yoochoose 1/64,9,3.598983212621551,4.406107408284528,69.2983642017034,32.49520404315952,112.58859515190125,332874,36985,55898
Yoochoose 1/64,10,3.5887880047257634,4.406862488917214,69.27943760984182,32.500136147097216,113.78214049339294,332874,36985,55898
Yoochoose 1/64,11,3.5879704057094166,4.407296631518967,69.28754900635393,32.4904293902455,113.8007583618164,332874,36985,55898
Yoochoose 1/64,12,3.5874872686750683,4.407787543463517,69.2821414086792,32.488632516730746,123.86261916160583,332874,36985,55898
Yoochoose 1/64,13,3.587108784018964,4.407834205495936,69.2821414086792,32.488828589179086,112.57191467285156,332874,36985,55898
Yoochoose 1/64,14,3.585578696321514,4.407920652327383,69.28484520751655,32.48584781351227,112.32355761528015,332874,36985,55898
Yoochoose 1/64,15,3.5855625375176072,4.407978777017113,69.28484520751655,32.488938001937214,124.24287581443787,332874,36985,55898
Diginetica,1,7.090344358271457,5.790299621488555,47.25283889529793,15.311655311012377,220.74192905426025,647523,71947,60858
Diginetica,2,5.46627768770368,5.508058275081504,50.67897202107107,16.716239998709664,220.94099855422974,647523,71947,60858
Diginetica,3,5.153454677859387,5.4364897481034555,52.04386562330605,17.22487888487026,223.3366665840149,647523,71947,60858
Diginetica,4,4.328163433825492,5.252054991552374,55.19062643334677,19.459285008636744,221.24372816085815,647523,71947,60858
Diginetica,5,4.189030296248308,5.286090252641253,55.08499311993551,19.29676229631299,219.4162998199463,647523,71947,60858
Diginetica,6,4.0270903800111375,5.350094861702049,54.68608837060614,19.226161281777575,221.73168635368347,647523,71947,60858
Diginetica,7,3.8201061269872794,5.386931797895647,54.55960637691634,19.285538498551087,221.9529025554657,647523,71947,60858
Diginetica,8,3.7981544732382884,5.403753556149686,54.52624848847068,19.27419085448742,221.11911034584045,647523,71947,60858
Diginetica,9,3.781683967685543,5.4145415396346195,54.41922526304085,19.240541732645777,221.31210327148438,647523,71947,60858
