dataset,epoch,train_loss,validation_loss,validation_precision@20,validation_mrr@20,epoch_seconds,train_examples,validation_examples,test_examples
Yoochoose 1/64,1,5.489380095748595,4.695206387326317,64.89387589563337,28.73452361796504,118.57912039756775,332874,36985,55898
Yoochoose 1/64,2,4.4426734204515395,4.534597936281888,67.49222657834257,30.025821385132843,118.38840103149414,332874,36985,55898
Yoochoose 1/64,3,4.198279028994241,4.465925491289688,68.4980397458429,30.73777398757553,117.83324480056763,332874,36985,55898
Yoochoose 1/64,4,3.7177903469577918,4.370679789916138,69.5552250912532,32.6916144457285,119.06079769134521,332874,36985,55898
Yoochoose 1/64,5,3.607964994835225,4.383785356552806,69.49844531566852,32.698135381133646,118.34434747695923,332874,36985,55898
Yoochoose 1/64,6,3.5497489460192027,4.410338772008818,69.31458699472759,32.682495039831196,117.07730627059937,332874,36985,55898
Yoochoose 1/64,7,3.455117595968811,4.420986455760325,69.30106800054077,32.755744132670706,118.60961031913757,332874,36985,55898
Yoochoose 1/64,8,3.445989014260271,4.426946010656642,69.27403001216709,32.7526749439041,118.1048321723938,332874,36985,55898
Yoochoose 1/64,9,3.4370912131313616,4.432567623574717,69.21184263890767,32.765988000135124,116.492849111557,332874,36985,55898
Yoochoose 1/64,10,3.425671241209171,4.433547799581126,69.22265783425713,32.76240714582315,117.46884870529175,332874,36985,55898
Yoochoose 1/64,11,3.4254330460548235,4.434274262313152,69.20373124239556,32.76815950507906,116.01892566680908,332874,36985,55898
Yoochoose 1/64,12,3.4248468136163854,4.434919420022876,69.19832364472083,32.75906185177479,128.18244338035583,332874,36985,55898
Yoochoose 1/64,13,3.423568694897802,4.435005762036529,69.19832364472083,32.75773138005266,117.78656816482544,332874,36985,55898
Yoochoose 1/64,14,3.4238113638646155,4.435088251512792,69.19832364472083,32.7591473201779,116.61355495452881,332874,36985,55898
Yoochoose 1/64,15,3.4234335876141033,4.435175208315682,69.19832364472083,32.7604351892042,128.19315671920776,332874,36985,55898
Yoochoose 1/64,16,3.4230819299981015,4.435180181745936,69.19832364472083,32.76034506395151,118.47268271446228,332874,36985,55898
