dataset,epoch,train_loss,validation_loss,validation_precision@20,validation_mrr@20,epoch_seconds,train_examples,validation_examples,test_examples
Diginetica,1,7.143879947303166,5.8023235945843625,46.98041613965836,15.229043667365515,224.44025683403015,647523,71947,60858
Diginetica,2,5.477715848530077,5.512503081869728,50.537200995177,16.62979789666126,229.73787879943848,647523,71947,60858
Diginetica,3,5.169203125088033,5.438414294010508,51.896534949337706,17.18949042117221,230.95950961112976,647523,71947,60858
Diginetica,4,4.411040409818669,5.264130189022561,54.99742866276565,19.114252053843146,228.96689248085022,647523,71947,60858
Diginetica,5,4.208678062941067,5.269484336486175,55.308768954925156,19.27564571582678,231.73705101013184,647523,71947,60858
Diginetica,6,4.147979439975705,5.328091860370911,54.72222608308894,19.1096131222716,232.519211769104,647523,71947,60858
Diginetica,7,3.946180690713285,5.352104459731529,54.80284098016595,19.225962278299363,236.89428663253784,647523,71947,60858
Diginetica,8,3.9063636862945548,5.361529977578081,54.76114361960888,19.242686734367933,236.75989055633545,647523,71947,60858
Diginetica,9,3.879099710156685,5.3724460069277615,54.7375151152932,19.22160332908123,233.49767303466797,647523,71947,60858
Diginetica,10,3.8490377493104067,5.376999359468073,54.74307476336748,19.21569558928498,250.52535820007324,647523,71947,60858
