dataset,epoch,train_loss,validation_loss,validation_precision@20,validation_mrr@20,epoch_seconds,train_examples,validation_examples,test_examples
Yoochoose 1/64,1,5.526485349161379,4.741609859647051,64.52345545491416,28.543909337692394,138.4977262020111,332874,36985,55898
Yoochoose 1/64,2,4.490481466078015,4.518855820898593,67.43815060159524,30.08922402079047,136.76664900779724,332874,36985,55898
Yoochoose 1/64,3,4.233689736310617,4.470572600803682,67.86805461673652,30.613501490620934,136.63485980033875,332874,36985,55898
Yoochoose 1/64,4,3.7939655809828716,4.360218578179785,69.53900229822901,32.4979763126412,136.68471336364746,332874,36985,55898
Yoochoose 1/64,5,3.706312296828688,4.372107433728049,69.44166554008382,32.56814013691678,138.82434797286987,332874,36985,55898
Yoochoose 1/64,6,3.6436319445496808,4.387542000812212,69.37947816682438,32.5533717455728,140.69946122169495,332874,36985,55898
Yoochoose 1/64,7,3.559542092837663,4.396896323433144,69.37136677031229,32.636961870553186,140.7019658088684,332874,36985,55898
Yoochoose 1/64,8,3.550506155378726,4.402409642036338,69.33621738542652,32.6503303809409,140.02407312393188,332874,36985,55898
Yoochoose 1/64,9,3.5448290751667213,4.406041234542313,69.29295660402866,32.66755164789641,139.9345667362213,332874,36985,55898
Yoochoose 1/64,10,3.534053619630603,4.4068830346874215,69.2983642017034,32.674490157794324,138.1935579776764,332874,36985,55898
Yoochoose 1/64,11,3.533838835757692,4.407634146232549,69.30917939705286,32.67340381225735,137.4412124156952,332874,36985,55898
Yoochoose 1/64,12,3.5325054628941555,4.408219455431745,69.30377179937813,32.6737171671786,148.05790376663208,332874,36985,55898
Yoochoose 1/64,13,3.5323707029695535,4.408284464574785,69.3064755982155,32.67342466751724,135.81212496757507,332874,36985,55898
Yoochoose 1/64,14,3.5323915136452992,4.408337947306028,69.3064755982155,32.673458508322234,136.7378330230713,332874,36985,55898
Yoochoose 1/64,15,3.531313074077238,4.408409032980236,69.30377179937813,32.67211736658707,137.16326594352722,332874,36985,55898
Diginetica,1,7.003224214476242,5.792770052107949,46.9692968435098,15.1309272433619,267.9101593494415,647523,71947,60858
Diginetica,2,5.466784592682556,5.511840640346189,50.740128149888115,16.524561075795948,267.7544410228729,647523,71947,60858
Diginetica,3,5.170623629098137,5.451090250449103,51.78951172390788,16.993268201874315,265.7982292175293,647523,71947,60858
Diginetica,4,4.360581851097715,5.2521627402142235,55.567292590379026,19.347041925101596,267.221937417984,647523,71947,60858
Diginetica,5,4.13582367772162,5.291255117876047,55.394943500076444,19.263169534400546,266.6511161327362,647523,71947,60858
Diginetica,6,4.032697447581711,5.356015792788993,54.851487900815876,19.10131632803691,268.67184567451477,647523,71947,60858
Diginetica,7,3.793171708773746,5.404881124004558,54.861217284945866,19.19874386560286,266.79748702049255,647523,71947,60858
Diginetica,8,3.7682856589987135,5.425760203147346,54.693037930698985,19.189127999296353,266.8275182247162,647523,71947,60858
Diginetica,9,3.7495938661742194,5.442903737673105,54.64161118601193,19.16129928646766,266.6812536716461,647523,71947,60858
