dataset,epoch,train_loss,validation_loss,validation_precision@20,validation_mrr@20,epoch_seconds,train_examples,validation_examples,test_examples
Yoochoose 1/64,1,5.4942677436404415,4.7291033969661,64.74787075841557,28.646849482320878,140.65132331848145,332874,36985,55898
Yoochoose 1/64,2,4.474698032446374,4.512538576119653,67.6760848992835,30.115893463097635,139.62962222099304,332874,36985,55898
Yoochoose 1/64,3,4.219217933267052,4.455513165966311,68.07624712721373,30.626666270286083,140.06045770645142,332874,36985,55898
Yoochoose 1/64,4,3.7745397600919657,4.354661120584531,69.47681492496959,32.452788095756596,141.1069061756134,332874,36985,55898
Yoochoose 1/64,5,3.6781174203889218,4.366055659092615,69.33621738542652,32.582765826505955,145.6594090461731,332874,36985,55898
Yoochoose 1/64,6,3.633421895020348,4.384735898003314,69.43896174124644,32.58541592459623,145.35058641433716,332874,36985,55898
Yoochoose 1/64,7,3.546063851683325,4.393295197192279,69.3389211842639,32.76773372050377,141.107590675354,332874,36985,55898
Yoochoose 1/64,8,3.5368973496327856,4.3994153265020275,69.36866297147492,32.794824770145745,137.80894017219543,332874,36985,55898
Yoochoose 1/64,9,3.5320102027283697,4.403125419026213,69.36595917263756,32.787066665036754,138.0812976360321,332874,36985,55898
Yoochoose 1/64,10,3.52054946470866,4.403973449254755,69.34973637961336,32.78470028408866,139.72847604751587,332874,36985,55898
Yoochoose 1/64,11,3.5204441297639963,4.404769411534414,69.35244017845072,32.779828291157216,144.1368887424469,332874,36985,55898
Yoochoose 1/64,12,3.5194521685454587,4.405258504509909,69.35244017845072,32.786747245381164,150.78202271461487,332874,36985,55898
Yoochoose 1/64,13,3.519388150375799,4.405338795455513,69.35244017845072,32.78418860822912,140.2556083202362,332874,36985,55898
Diginetica,1,7.860802965773793,6.479928516895244,36.77290227528597,10.60108892272799,270.3831036090851,647523,71947,60858
Diginetica,2,6.477978543144486,6.116039975502328,40.98711551558787,12.177580442498444,271.1768500804901,647523,71947,60858
Diginetica,3,6.19669724032262,5.966628757270661,42.80929017193212,12.788298143721429,276.94215726852417,647523,71947,60858
Diginetica,4,5.416920627229222,5.4174917941146665,51.48373107982265,17.278409048285077,269.97969794273376,647523,71947,60858
Diginetica,5,5.158866519212549,5.357868906107781,52.61372955091943,17.744142067699663,278.0622229576111,647523,71947,60858
Diginetica,6,5.041204028942175,5.341287471813073,53.1613548862357,17.967758146633273,273.91811871528625,647523,71947,60858
Diginetica,7,4.82589982862879,5.323126311225769,53.750677582109056,18.426705716355396,295.9249677658081,647523,71947,60858
Diginetica,8,4.786887704084967,5.310464841684198,53.90078808011453,18.543151761515652,273.33770418167114,647523,71947,60858
Diginetica,9,4.759494714490406,5.308127001685337,53.98696262526582,18.589448350242048,278.44564485549927,647523,71947,60858
Diginetica,10,4.72290419328504,5.308975390632921,53.9925222733401,18.602726843142783,274.187283039093,647523,71947,60858
Diginetica,11,4.718356379935412,5.309633263806358,54.00364156948865,18.602829577833447,268.6300926208496,647523,71947,60858
Diginetica,12,4.717665595668584,5.309741512886427,54.032829721878606,18.596156095102092,281.16985392570496,647523,71947,60858
Diginetica,13,4.711041482113485,5.3097588899877985,54.03143980986004,18.595950022607617,282.4262144565582,647523,71947,60858
Diginetica,14,4.711166655868016,5.3097935020811775,54.032829721878606,18.601096342000552,279.2166323661804,647523,71947,60858
Diginetica,15,4.71271709813518,5.309806054694934,54.0286599858229,18.599098445539163,271.4873192310333,647523,71947,60858
Diginetica,16,4.712406438306493,5.309824397837755,54.030049897841465,18.600516933191063,284.94257164001465,647523,71947,60858
