dataset,epoch,train_loss,validation_loss,validation_precision@20,validation_mrr@20,epoch_seconds,train_examples,validation_examples,test_examples
Yoochoose 1/64,1,5.578466829362051,4.723284959760859,64.83979991888603,28.60934232366525,107.43333530426025,332874,36985,55898
Yoochoose 1/64,2,4.482097161403726,4.512528082736846,67.54089495741516,30.174181758833686,105.97103333473206,332874,36985,55898
Yoochoose 1/64,3,4.2361968801224945,4.460621126184467,68.33581181560092,30.76928037009369,105.85332870483398,332874,36985,55898
Yoochoose 1/64,4,3.802815172785538,4.3678811218862,69.42544274705962,32.22814072333946,106.17323350906372,332874,36985,55898
Yoochoose 1/64,5,3.730032555476261,4.377732236626762,69.35784777612545,32.38830580330385,105.91164898872375,332874,36985,55898
Yoochoose 1/64,6,3.729447327301795,4.394441987141187,69.21454643774503,32.46349264064705,105.73102927207947,332874,36985,55898
Yoochoose 1/64,7,3.607821758940117,4.3997317084399725,69.27673381100446,32.53235209321789,106.21967601776123,332874,36985,55898
Yoochoose 1/64,8,3.5991324836179257,4.403697669900913,69.2091388400703,32.50785013332679,105.73124432563782,332874,36985,55898
Yoochoose 1/64,9,3.593113813672899,4.405477376891195,69.25239962146816,32.52759314363384,105.74006938934326,332874,36985,55898
Yoochoose 1/64,10,3.582292241130286,4.406050686451395,69.2334730296066,32.51885153561714,106.27443075180054,332874,36985,55898
Yoochoose 1/64,11,3.5811830802989952,4.406562927205353,69.23888062728133,32.50982434874985,105.958083152771,332874,36985,55898
Yoochoose 1/64,12,3.5811655064229417,4.4071212173942556,69.2253616330945,32.5131937934367,106.03943848609924,332874,36985,55898
Diginetica,1,7.166040042110025,5.805642143459581,47.19863232657373,15.319887511166549,207.97109246253967,647523,71947,60858
Diginetica,2,5.4582110366464756,5.512445222475329,50.83742199118796,16.740842054227805,206.47463250160217,647523,71947,60858
Diginetica,3,5.170366904046819,5.435421222745515,52.12448052038306,17.307982055788344,206.48314142227173,647523,71947,60858
Diginetica,4,4.366184124114674,5.251152447551207,55.468608837060614,19.459496701350414,207.3038306236267,647523,71947,60858
Diginetica,5,4.137235983225934,5.286381134786789,55.39633341209502,19.414122415778255,206.19258379936218,647523,71947,60858
Diginetica,6,4.056076350959921,5.400384053684635,53.89800825607739,18.65403128443731,217.2472710609436,647523,71947,60858
Diginetica,7,3.8960819388100956,5.388060688510197,54.74307476336748,19.32377885963255,217.3089120388031,647523,71947,60858
Diginetica,8,3.825572343526272,5.398613440703307,54.7194462590518,19.3686272795872,206.22476077079773,647523,71947,60858
Diginetica,9,3.7985817100622112,5.412360560245003,54.63327171390051,19.363951479907975,205.71630883216858,647523,71947,60858
