dataset,epoch,train_loss,validation_loss,validation_precision@20,validation_mrr@20,epoch_seconds,train_examples,validation_examples,test_examples
Yoochoose 1/64,1,5.52678237298887,4.724837388511411,64.66405299445721,28.64625537042539,153.6802110671997,332874,36985,55898
Yoochoose 1/64,2,4.455920257396576,4.5140565154970504,67.45978099229417,30.06837022551108,148.08349680900574,332874,36985,55898
Yoochoose 1/64,3,4.202007081320881,4.4426423639192025,68.46829795863188,30.68909829059646,147.95014643669128,332874,36985,55898
Yoochoose 1/64,4,3.773314566964549,4.346335691875165,69.63633905637421,32.41114188484748,149.07961535453796,332874,36985,55898
Yoochoose 1/64,5,3.6797827509419245,4.353763029416445,69.57955928078951,32.5678162666951,148.78868985176086,332874,36985,55898
Yoochoose 1/64,6,3.631526361632012,4.3697217966682835,69.40381235636069,32.55382622418024,149.85629892349243,332874,36985,55898
Yoochoose 1/64,7,3.5512392237931367,4.372957085344749,69.51737190753008,32.69581252599997,148.98286199569702,332874,36985,55898
Yoochoose 1/64,8,3.544689814354246,4.3770604513296485,69.50655671218061,32.68432615124665,149.01893544197083,332874,36985,55898
Yoochoose 1/64,9,3.5391987971977836,4.380861683505539,69.47411112613221,32.70574200196864,149.05567741394043,332874,36985,55898
Yoochoose 1/64,10,3.5290612636153424,4.381284416632441,69.47140732729486,32.69554642030995,148.6846559047699,332874,36985,55898
Yoochoose 1/64,11,3.528883732216745,4.381708803701613,69.46870352845748,32.69535717584482,149.40907287597656,332874,36985,55898
Yoochoose 1/64,12,3.5281074353282387,4.382147813046383,69.46059213194539,32.696120300953076,149.9637746810913,332874,36985,55898
Yoochoose 1/64,13,3.527125432967647,4.38220624980434,69.46059213194539,32.69411566387371,152.6419746875763,332874,36985,55898
Yoochoose 1/64,14,3.5271310834064633,4.382264580261841,69.46059213194539,32.69398194576448,149.77074480056763,332874,36985,55898
Diginetica,1,7.018441523177412,5.790299360897284,46.85393414596856,14.958875826510706,290.6954984664917,647523,71947,60858
Diginetica,2,5.425443090392417,5.496361985949494,50.72066938162814,16.594797587967008,291.6780939102173,647523,71947,60858
Diginetica,3,5.122350801665071,5.434969385826744,51.892365213282,17.016038215057478,291.27466440200806,647523,71947,60858
Diginetica,4,4.310334683884382,5.241746233414514,55.79523816142438,19.413401246881087,294.19715881347656,647523,71947,60858
Diginetica,5,4.082386050827704,5.298398476574044,55.31432860299943,19.300478224853947,292.7564764022827,647523,71947,60858
Diginetica,6,3.9629410821312465,5.3695292639987855,54.766703267683155,19.245341459483697,292.453147649765,647523,71947,60858
Diginetica,7,3.7613634427317812,5.39988849392603,54.81535018833308,19.334348695847183,294.19405817985535,647523,71947,60858
Diginetica,8,3.739375411358895,5.421262860591429,54.67635898647615,19.312235263445523,297.04865741729736,647523,71947,60858
Diginetica,9,3.722141748170401,5.439467803527942,54.57767523315774,19.28039675884148,293.4633369445801,647523,71947,60858
