dataset,epoch,train_loss,validation_loss,validation_precision@20,validation_mrr@20,learning_rate,epoch_seconds,train_examples,validation_examples,test_examples
Yoochoose 1/64,1,5.59936738592802,4.68835135300417,65.10477220494795,28.72407479754844,0.001,742.4127397537231,332874,36985,55898
Yoochoose 1/64,2,4.424656418028685,4.4713277184384665,67.97079897255644,30.352071880955815,0.001,747.1610100269318,332874,36985,55898
Yoochoose 1/64,3,4.160996407663828,4.418677242217683,68.52507773421658,30.77641559191873,0.0001,745.900689125061,332874,36985,55898
Yoochoose 1/64,4,3.7325699818469724,4.337952031208661,69.72286061916994,32.50507573912526,0.0001,744.328516960144,332874,36985,55898
Yoochoose 1/64,5,3.6420346421056378,4.354380340854655,69.62552386102475,32.603703145966655,0.0001,743.8379802703857,332874,36985,55898
Yoochoose 1/64,6,3.5931586683775225,4.3689548275962915,69.5714478842774,32.577070948141916,1e-05,742.3699436187744,332874,36985,55898
Yoochoose 1/64,7,3.515608201601372,4.383803273304517,69.57955928078951,32.6650949147838,1e-05,744.7372238636017,332874,36985,55898
Yoochoose 1/64,8,3.5074960890692792,4.387954197301242,69.54170609706638,32.650506376849485,1e-05,743.440712928772,332874,36985,55898
Yoochoose 1/64,9,3.503211723322583,4.391791336920289,69.49033391915641,32.65989680829782,1.0000000000000002e-06,742.1037421226501,332874,36985,55898
Yoochoose 1/64,10,3.4937780269039447,4.3929237779836745,69.49033391915641,32.66876621408786,1.0000000000000002e-06,743.0230147838593,332874,36985,55898
Yoochoose 1/64,11,3.492397067457128,4.393813098364945,69.49033391915641,32.665629168370295,1.0000000000000002e-06,742.0366022586823,332874,36985,55898
Yoochoose 1/64,12,3.492077862996442,4.394290055425421,69.47140732729486,32.66539485096464,1.0000000000000002e-07,744.0188088417053,332874,36985,55898
Yoochoose 1/64,13,3.491201641460229,4.394338903933808,69.46329593078275,32.66278357542543,1.0000000000000002e-07,743.3167960643768,332874,36985,55898
Yoochoose 1/64,14,3.491533687208873,4.394418004236948,69.46599972962012,32.66152850031546,1.0000000000000002e-07,744.1214499473572,332874,36985,55898
Yoochoose 1/64,15,3.4911118068789726,4.394503925174447,69.46870352845748,32.66358986535201,1.0000000000000004e-08,746.5983505249023,332874,36985,55898
Diginetica,1,7.067118849428188,5.702994800133227,47.775445814279955,15.691886204073443,0.001,1329.3739371299744,647523,71947,60858
Diginetica,2,5.341252739006488,5.414572731022679,51.600483689382465,17.454764388564502,0.001,1330.7214758396149,647523,71947,60858
Diginetica,3,5.039085444281953,5.3816496961080045,52.41080239620832,17.886824310070292,0.0001,1330.307447195053,647523,71947,60858
Diginetica,4,4.279384154990718,5.232803288027299,55.7493710648116,19.65077164118548,0.0001,1327.0688934326172,647523,71947,60858
Diginetica,5,4.056065849673884,5.28523794421378,55.521425493766245,19.56053425283603,0.0001,1327.4199805259705,647523,71947,60858
Diginetica,6,3.941474030324686,5.382955404385511,55.03634619928558,19.467442023778478,1e-05,1325.633210659027,647523,71947,60858
Diginetica,7,3.7445428573045234,5.433600091217759,54.961290950282844,19.4628201450654,1e-05,1325.7442455291748,647523,71947,60858
Diginetica,8,3.7251796698766246,5.4523367242938905,54.87372649311298,19.446683998695914,1e-05,1326.4543137550354,647523,71947,60858
Diginetica,9,3.711035879858081,5.467638646557026,54.823689660444494,19.403717672176846,1.0000000000000002e-06,1325.7330470085144,647523,71947,60858
